Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
2 Bedrooms Selfcontain in Legon,Royal Palm Street North Legon,Legon,Accra,1,1,100.0 sqm,Ghana cedis,750,Collins VERIFIED,13 Jul 12:00 pm,Apartment,Two bedrooms selfcontain for rent at north legon close to the wisconsin university and university of Ghana legon  advance is 2years  its in a gated house everything is intact.you can call or whatsapp me
Two bedroom Apartment@Nunkwa,malece,Spintex,Accra,1,2,15.0 sqm,Ghana cedis,750,Franco Housing Properties ,10 Jul  3:16 pm,Apartment,This is Apartment around malece Exec tow bed location malece
3 bedroom apartment in Airport Accra,Airport Residential Area,Airport,Accra,3,3,180.0 sqm,Ghana cedis,9600,Avenue Properties ,11 Jul 10:51 am,Apartment,Executive 3 bedroom apartments to let at Airport Residential Area near Foreign Affairs Ministry. The apartment has large garden with trees and a swimming pool. There is a standby generator  24/7 security  uninterrupted water flow. Each apartment has a partly furnished kitchen with fridge  microwave  cooker and washing machine. It could be rented furnished and unfurnished. It is renting for US$ 2 400 per month.
4 bedroom apartment to let at Villaggio,Airport Residential Area,Airport,Accra,4,4,180.0 sqm,Ghana cedis,16000,Avenue Properties ,13 Jul  8:49 am,Apartment,An executive four bedroom apartment for rent in Villagio  Airport Residential Area near African Regent Hotel  Accra. The apartment has a large living area with each room coming with fan  wardrobe and A/C. The apartment has a gym  club house  a swimming pool and a garden. The area has uninterrupted water flow  consistent light supply with a standby plant. The apartment is renting for US$ 4 000 (fully furnished) per month.
Chamba&hall Self 4rent Spintex,Spintex,Spintex,Accra,1,1,1.0 sqft,Ghana cedis,600,Nana Kwame Property Agency ,13 Jul  8:28 am,Apartment,An executive walled&gated chamber&hall selfcontained for rent at spintex.call Nana kwame property agency for more info
2bedroom Apartment 4rent Spintex,Spintex,Spintex,Accra,2,1,1.0 sqft,Ghana cedis,820,Nana Kwame Property Agency ,13 Jul  8:26 am,Apartment,An adorable nice and decent 2bedroom apartment in a decent location and not far from the roadside with just 2 people on the compound and you have your own entrance too.call Nana kwame property agency for more info
Nice 3 BRM.APT.@.Madina washinton,Madina Washinton close to north legon thank you.,Madina,Accra,3,2,35.0 sqft,Ghana cedis,1000,Mubin1177 Ventures Limited ,13 Jul  7:36 am,Apartment,Three bedrooms apartment at madina Washinton four apartment on one compound sepreat meter compound pave with terazo fence wall gated estrial proparty available afordable thank you.
3 bedroom apartment in East Legon,British International School / French,East Legon,Accra,3,3,180.0 sqm,Ghana cedis,7200,Avenue Properties ,13 Jul  7:32 am,Apartment,An executive newly built three bedroom apartment to let at East Legon near British International School / French School. Each room has a wardrobe and Air-conditioners. There is standby generator  24/7 water flow and security. The kitchen is partly furnished with washing machine  fridge and cooker. Price: US$ 1 800/ month unfurnished
3 BDR Apart# to Let at Airport west,West Airport,East Legon,Accra,3,4,1 000.0 sqm,Ghana cedis,10500,Top Class Properties ,13 Jul  7:18 am,Apartment,Description An executive 3 bedroom facility located in a very serene neighborhood at West Airport . It is a storey building with several apartments. It comes with a hall  a kitchen with top and down cabinets  bedrooms Dining . All the rooms have been tiled. There is easy access to water and electricity.
nice 3bed apartment at Dansoman,Dansoman sahara.,Dansoman,Accra,3,2,10.0 sqm,Ghana cedis,1000,Thomas Rentals ,13 Jul  4:17 am,Apartment,Wall n gated  spacious rooms  kitchen cabinet  just 3 building on a compound 
