Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
Exe new chamber & hall @ Greda Estate,Greda Estate,Teshie-Nungua Estates,Accra,1,1,40 sqm,Ghana cedis,650,Maximo Properties ,12 Jul  2:31 pm,House,Executive beautiful new chamber and hall self contained house for rent at Greda estates off Spintex road. It comes with a hall  kitchen  a washroom  tiled floors  terrazzo compound  fans etc. The size is 40m2 and the price for a monthis . House will be completely ready and available in August 2017. Interested persons should contact Maximo
Newly 3bedroom -spintex,spintex kotobabe line,Spintex,Accra,3,3,50/90 sqm,Ghana cedis,4000000,Goget New Property ,12 Jul  2:01 pm,House,Very nice and newly molding building going for sale at spintex
3Bedroom self compound at Abokobi,,Abokobi,Accra,3,2,250 sqm,Ghana cedis,800,Trusted Properties ,12 Jul  2:01 pm,House,3 Bedroom self compound semi detached in a gated community at abokobi for rent 1 or two years price  for two years. And 1000 for a year. Water flow 24/7.
Brand new four bedrooms@East Legon,East Legon Around Trazzaco Valley Estate,East Legon,Accra,4,4,100 sqm,Ghana cedis,1800,KK Solution Limited ,12 Jul  1:38 pm,House,Brand new four bedrooms self compound house for rent at East Legon around Trazzaco Valley Estate  it's fully air conditions  all rooms are ensuit P.O.P ceiling  walled gated house pavement compound  water flows everyday plus additional polytank  rent advance is either one year or two years price is fixed and is not negotiable agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
Three Bedroom house-Dome,Parakuo,Dome,Accra,3,2,200 sqft,Ghana cedis,7000,E-Villa Company Limited ,12 Jul  1:29 pm,House,Very neat and nice semi furnished three bedroom apartment with boys quarters which has a polytank to store water. Has no water problems.
Exe 4 bedroom house with BQ@ Spintex,Spintex,Spintex,Accra,4,4,400 sqm,Ghana cedis,4000,Maximo Properties ,12 Jul  1:25 pm,House,An Executive styled 4 bedroom house with 2 bedroom boys quarters is available for rental in a gated community at Spintex. It comes with 4 washrooms  tiled floors.air conditioners a study a garden  paved compound etc.Price is USD 900per month. Call Maximo Properties now.
3 bedroom house for rent @ Batsonaa,Batsonaa,Spintex,Accra,3,4,180 sqm,Ghana cedis,2600,Maximo Properties ,12 Jul  1:21 pm,House,3 bedroom house for rent at Batsonaa  Spintex road. It comes with 4 washrooms  a hall a dining area  tiled floors fans  air conditioners  wardrobes  fitted kitchen  sliding windows  paved compound  water resevior  security fence etc. Size is USD 180m2 and the price per month is USD 590.
Furnished 3 bedroom for rent @ Spintex,Community 18,Spintex,Accra,3,3,300 sqm,Ghana cedis,6700,Maximo Properties ,12 Jul  1:02 pm,House,A furnished 3 bedroom house is available to let at community 18  Spintex. It comes with tiled floors  furniture and beds  sliding windows  sliding windows  fans and wardrobes  a hall and a dining  television sets in all rooms  generator sets  refrigerators  a fitted kitchen  gas cookers  etc. Property is for short term rental. Price is 1 500 USD per month
3BRM TO LET - OYARIFA,,Oyarifa,Accra,3,2,0 sqm,Ghana cedis,3150,UT Properties ,12 Jul 12:36 pm,House,A 3 bedroom detached house situate in the well planned gated community of Rehoboth Courts  Oyarifa. This property comes with a one bedroom out house. KEY FEATURES Spacious rooms Fitted ac's in all room Fitted fans in all rooms Guest washroom Fitted kitchen Paved compound Fitted water heaters in all bathrooms Constant water within the community Constant security within the community Well tarred roads
3 bedroom house,DEVTRACO ESTATES COMMUNITY 25 TEMA,East Legon,Accra,3,2,80 sqft,Ghana cedis,2700,madam , 8 Jul 12:40 pm,House,3 bedroom house for rent at Devtraco Estates community 25 Tema  All rooms fitted with Air-conditions
